category,currency,name_raw,existing_indicator,n_common_months,corr
labour,USD,Prelim Nonfarm Productivity q/q,jobless_claims,14,-0.061
labour,USD,Prelim Nonfarm Productivity q/q,jolts,9,-0.345
labour,USD,Prelim Nonfarm Productivity q/q,unemployment_rate,14,0.152
labour,USD,Prelim Nonfarm Productivity q/q,wage_growth,14,0.047
labour,USD,Prelim Unit Labor Costs q/q,adp,9,0.507
labour,USD,Prelim Unit Labor Costs q/q,employment_change,14,-0.239
labour,USD,Prelim Unit Labor Costs q/q,jobless_claims,14,-0.157
labour,USD,Prelim Unit Labor Costs q/q,jolts,9,0.322
labour,USD,Prelim Unit Labor Costs q/q,unemployment_rate,14,0.134
labour,USD,Prelim Unit Labor Costs q/q,wage_growth,14,0.059
monetary,AUD,Private Sector Credit m/m,(none scored),0,
monetary,GBP,M4 Money Supply m/m,(none scored),0,
monetary,GBP,Net Lending to Individuals m/m,(none scored),0,
monetary,GBP,MPC Official Bank Rate Votes,(none scored),0,
monetary,JPY,Monetary Base y/y,(none scored),0,
monetary,JPY,M2 Money Stock y/y,(none scored),0,
monetary,JPY,Bank Lending y/y,(none scored),0,
