currency,canonical,flash_dt,flash_actual,final_name,final_dt,final_actual,revision
GBP,S&P Global/CIPS Manufacturing PMI,2026-01-02 09:30:00,50.6,Flash Manufacturing PMI,2026-01-23 09:30:00,51.6,1.0
GBP,S&P Global/CIPS Services PMI,2026-01-06 09:30:00,51.4,Flash Services PMI,2026-01-23 09:30:00,54.3,2.9
USD,GDP q/q,2025-07-30 12:30:00,3.0,Final GDP q/q,2026-01-22 13:30:00,4.4,1.4
EUR,Core CPI y/y,2026-01-07 10:00:00,2.3,Final Core CPI y/y,2026-01-19 10:00:00,2.3,0.0
EUR,CPI y/y,2026-01-07 10:00:00,2.0,Final CPI y/y,2026-01-19 10:00:00,1.9,-0.1
USD,GDP q/q,2025-07-30 12:30:00,3.0,Prelim GDP q/q,2025-12-23 13:30:00,4.3,1.3
EUR,CPI y/y,2025-12-02 10:00:00,2.2,Final CPI y/y,2025-12-17 10:00:00,2.1,-0.1
EUR,Core CPI y/y,2025-12-02 10:00:00,2.4,Final Core CPI y/y,2025-12-17 10:00:00,2.4,0.0
EUR,Employment Change q/q,2025-11-14 10:00:00,0.1,Final Employment Change q/q,2025-12-05 10:00:00,0.0,-0.1
EUR,GDP q/q,2025-10-30 10:00:00,0.2,Revised GDP q/q,2025-12-05 10:00:00,0.0,-0.2
EUR,CPI y/y,2025-10-31 10:00:00,2.1,Final CPI y/y,2025-11-19 10:00:00,2.1,0.0
EUR,Core CPI y/y,2025-10-31 10:00:00,2.4,Final Core CPI y/y,2025-11-19 10:00:00,2.4,0.0
USD,GDP q/q,2025-07-30 12:30:00,3.0,Prelim GDP q/q,2025-11-16 23:50:00,-0.4,-3.4
EUR,GDP q/q,2025-10-30 10:00:00,0.2,Flash GDP q/q,2025-11-14 10:00:00,0.2,0.0
EUR,CPI y/y,2025-10-01 09:00:00,0.0,Final CPI y/y,2025-10-17 09:00:00,2.2,2.2
EUR,Core CPI y/y,2025-10-01 09:00:00,0.0,Final Core CPI y/y,2025-10-17 09:00:00,2.4,2.4
EUR,CPI y/y,2025-09-02 09:00:00,2.1,Final CPI y/y,2025-09-17 09:00:00,2.0,-0.1
EUR,Core CPI y/y,2025-09-02 09:00:00,2.3,Final Core CPI y/y,2025-09-17 09:00:00,2.3,0.0
EUR,Employment Change q/q,2025-08-14 09:00:00,0.1,Final Employment Change q/q,2025-09-05 09:00:00,0.1,0.0
USD,GDP q/q,2025-07-30 12:30:00,3.0,Prelim GDP q/q,2025-08-28 12:30:00,3.3,0.3
EUR,CPI y/y,2025-08-01 09:00:00,2.0,Final CPI y/y,2025-08-20 09:00:00,2.0,0.0
EUR,Core CPI y/y,2025-08-01 09:00:00,2.3,Final Core CPI y/y,2025-08-20 09:00:00,2.3,0.0
USD,GDP q/q,2025-07-30 12:30:00,3.0,Prelim GDP q/q,2025-08-14 23:50:00,0.3,-2.7
EUR,GDP q/q,2025-07-30 09:00:00,0.1,Flash GDP q/q,2025-08-14 09:00:00,0.1,0.0
EUR,CPI y/y,2025-07-01 09:00:00,2.0,Final CPI y/y,2025-07-17 09:00:00,2.0,0.0
EUR,Core CPI y/y,2025-07-01 09:00:00,2.3,Final Core CPI y/y,2025-07-17 09:00:00,2.3,0.0
EUR,CPI y/y,2025-06-03 09:00:00,1.9,Final CPI y/y,2025-06-18 09:00:00,1.9,0.0
EUR,Core CPI y/y,2025-06-03 09:00:00,2.3,Final Core CPI y/y,2025-06-18 09:00:00,2.3,0.0
EUR,Employment Change q/q,2025-05-15 09:00:00,0.3,Final Employment Change q/q,2025-06-06 09:00:00,0.2,-0.1
EUR,GDP q/q,2025-04-30 09:00:00,0.4,Revised GDP q/q,2025-06-06 09:00:00,0.6,0.2
USD,GDP q/q,2025-04-30 12:30:00,-0.3,Prelim GDP q/q,2025-05-29 12:30:00,-0.2,0.1
EUR,CPI y/y,2025-05-02 09:00:00,2.2,Final CPI y/y,2025-05-19 09:00:00,2.2,0.0
EUR,Core CPI y/y,2025-05-02 09:00:00,2.7,Final Core CPI y/y,2025-05-19 09:00:00,2.7,0.0
USD,GDP q/q,2025-04-30 12:30:00,-0.3,Prelim GDP q/q,2025-05-15 23:50:00,-0.2,0.1
EUR,GDP q/q,2025-04-30 09:00:00,0.4,Flash GDP q/q,2025-05-15 09:00:00,0.3,-0.1
EUR,CPI y/y,2025-04-01 09:00:00,2.2,Final CPI y/y,2025-04-16 09:00:00,2.2,0.0
EUR,Core CPI y/y,2025-04-01 09:00:00,2.4,Final Core CPI y/y,2025-04-16 09:00:00,2.4,0.0
EUR,CPI y/y,2025-03-03 10:00:00,2.4,Final CPI y/y,2025-03-19 10:00:00,2.3,-0.1
EUR,Core CPI y/y,2025-03-03 10:00:00,2.6,Final Core CPI y/y,2025-03-19 10:00:00,2.6,0.0
EUR,Employment Change q/q,2025-02-14 10:00:00,0.1,Final Employment Change q/q,2025-03-07 10:00:00,0.1,0.0
EUR,GDP q/q,2025-01-30 10:00:00,0.0,Revised GDP q/q,2025-03-07 10:00:00,0.2,0.2
USD,GDP q/q,2025-01-30 13:30:00,2.3,Prelim GDP q/q,2025-02-27 13:30:00,2.3,0.0
EUR,CPI y/y,2025-02-03 10:00:00,2.5,Final CPI y/y,2025-02-24 10:00:00,2.5,0.0
EUR,Core CPI y/y,2025-02-03 10:00:00,2.7,Final Core CPI y/y,2025-02-24 10:00:00,2.7,0.0
USD,GDP q/q,2025-01-30 13:30:00,2.3,Prelim GDP q/q,2025-02-16 23:50:00,0.7,-1.6
EUR,GDP q/q,2025-01-30 10:00:00,0.0,Flash GDP q/q,2025-02-14 10:00:00,0.1,0.1
EUR,CPI y/y,2025-01-07 10:00:00,2.4,Final CPI y/y,2025-01-17 10:00:00,2.4,0.0
EUR,Core CPI y/y,2025-01-07 10:00:00,2.7,Final Core CPI y/y,2025-01-17 10:00:00,2.7,0.0
EUR,CPI y/y,2024-11-29 10:00:00,2.3,Final CPI y/y,2024-12-18 10:00:00,2.2,-0.1
EUR,Core CPI y/y,2024-11-29 10:00:00,2.7,Final Core CPI y/y,2024-12-18 10:00:00,2.7,0.0
EUR,Employment Change q/q,2024-11-14 10:00:00,0.2,Final Employment Change q/q,2024-12-06 10:00:00,0.2,0.0
EUR,GDP q/q,2024-10-30 10:00:00,0.4,Revised GDP q/q,2024-12-06 10:00:00,0.4,0.0
USD,GDP q/q,2024-10-30 12:30:00,2.8,Prelim GDP q/q,2024-11-27 13:30:00,2.8,0.0
EUR,CPI y/y,2024-10-31 10:00:00,2.0,Final CPI y/y,2024-11-19 10:00:00,2.0,0.0
EUR,Core CPI y/y,2024-10-31 10:00:00,2.7,Final Core CPI y/y,2024-11-19 10:00:00,2.7,0.0
USD,GDP q/q,2024-10-30 12:30:00,2.8,Prelim GDP q/q,2024-11-14 23:50:00,0.2,-2.6
EUR,GDP q/q,2024-10-30 10:00:00,0.4,Flash GDP q/q,2024-11-14 10:00:00,0.4,0.0
EUR,CPI y/y,2024-10-01 09:00:00,1.8,Final CPI y/y,2024-10-17 09:00:00,1.7,-0.1
EUR,Core CPI y/y,2024-10-01 09:00:00,2.7,Final Core CPI y/y,2024-10-17 09:00:00,2.7,0.0
EUR,CPI y/y,2024-08-30 09:00:00,2.2,Final CPI y/y,2024-09-18 09:00:00,2.2,0.0
EUR,Core CPI y/y,2024-08-30 09:00:00,2.8,Final Core CPI y/y,2024-09-18 09:00:00,2.8,0.0
EUR,Employment Change q/q,2024-08-14 09:00:00,0.2,Final Employment Change q/q,2024-09-06 09:00:00,0.2,0.0
EUR,GDP q/q,2024-07-30 09:00:00,0.3,Revised GDP q/q,2024-09-06 09:00:00,0.2,-0.1
USD,GDP q/q,2024-07-25 12:30:00,2.8,Prelim GDP q/q,2024-08-29 12:30:00,3.0,0.2
EUR,CPI y/y,2024-07-31 09:00:00,2.6,Final CPI y/y,2024-08-20 09:00:00,2.6,0.0
EUR,Core CPI y/y,2024-07-31 09:00:00,2.9,Final Core CPI y/y,2024-08-20 09:00:00,2.9,0.0
USD,GDP q/q,2024-07-25 12:30:00,2.8,Prelim GDP q/q,2024-08-14 23:50:00,0.8,-2.0
EUR,GDP q/q,2024-07-30 09:00:00,0.3,Flash GDP q/q,2024-08-14 09:00:00,0.3,0.0
EUR,CPI y/y,2024-07-02 09:00:00,2.5,Final CPI y/y,2024-07-17 09:00:00,2.5,0.0
EUR,Core CPI y/y,2024-07-02 09:00:00,2.9,Final Core CPI y/y,2024-07-17 09:00:00,2.9,0.0
EUR,CPI y/y,2024-05-31 09:00:00,2.6,Final CPI y/y,2024-06-18 09:00:00,2.6,0.0
EUR,Core CPI y/y,2024-05-31 09:00:00,2.9,Final Core CPI y/y,2024-06-18 09:00:00,2.9,0.0
EUR,Employment Change q/q,2024-05-15 09:00:00,0.3,Final Employment Change q/q,2024-06-07 09:00:00,0.3,0.0
USD,GDP q/q,2024-04-25 12:30:00,1.6,Prelim GDP q/q,2024-05-30 12:30:00,1.3,-0.3
EUR,CPI y/y,2024-04-30 09:00:00,2.4,Final CPI y/y,2024-05-17 09:00:00,2.4,0.0
EUR,Core CPI y/y,2024-04-30 09:00:00,2.7,Final Core CPI y/y,2024-05-17 09:00:00,2.7,0.0
USD,GDP q/q,2024-04-25 12:30:00,1.6,Prelim GDP q/q,2024-05-15 23:50:00,-0.5,-2.1
EUR,CPI y/y,2024-04-03 09:00:00,2.4,Final CPI y/y,2024-04-17 09:00:00,2.4,0.0
EUR,Core CPI y/y,2024-04-03 09:00:00,2.9,Final Core CPI y/y,2024-04-17 09:00:00,2.9,0.0
EUR,CPI y/y,2024-03-01 10:00:00,2.6,Final CPI y/y,2024-03-18 10:00:00,2.6,0.0
EUR,Core CPI y/y,2024-03-01 10:00:00,3.1,Final Core CPI y/y,2024-03-18 10:00:00,3.1,0.0
EUR,Employment Change q/q,2024-02-14 10:00:00,0.3,Final Employment Change q/q,2024-03-08 10:00:00,0.3,0.0
EUR,GDP q/q,2024-01-30 10:00:00,0.0,Revised GDP q/q,2024-03-08 10:00:00,0.0,0.0
USD,GDP q/q,2024-01-25 13:30:00,3.3,Prelim GDP q/q,2024-02-28 13:30:00,3.2,-0.1
EUR,CPI y/y,2024-02-01 10:00:00,2.8,Final CPI y/y,2024-02-22 10:00:00,2.8,0.0
EUR,Core CPI y/y,2024-02-01 10:00:00,3.3,Final Core CPI y/y,2024-02-22 10:00:00,3.3,0.0
USD,GDP q/q,2024-01-25 13:30:00,3.3,Prelim GDP q/q,2024-02-14 23:50:00,-0.1,-3.4
EUR,GDP q/q,2024-01-30 10:00:00,0.0,Flash GDP q/q,2024-02-14 10:00:00,0.0,0.0
EUR,CPI y/y,2024-01-05 10:00:00,2.9,Final CPI y/y,2024-01-17 10:00:00,2.9,0.0
EUR,Core CPI y/y,2024-01-05 10:00:00,3.4,Final Core CPI y/y,2024-01-17 10:00:00,3.4,0.0
USD,GDP q/q,2023-10-26 12:30:00,4.9,Prelim GDP q/q,2023-11-29 13:30:00,5.2,0.3
EUR,CPI y/y,2023-10-31 10:00:00,2.9,Final CPI y/y,2023-11-17 10:00:00,2.9,0.0
EUR,Core CPI y/y,2023-10-31 10:00:00,4.2,Final Core CPI y/y,2023-11-17 10:00:00,4.2,0.0
USD,GDP q/q,2023-10-26 12:30:00,4.9,Prelim GDP q/q,2023-11-14 23:50:00,-0.5,-5.4
EUR,GDP q/q,2023-10-31 10:00:00,-0.1,Flash GDP q/q,2023-11-14 10:00:00,-0.1,0.0
EUR,CPI y/y,2023-09-29 09:00:00,4.3,Final CPI y/y,2023-10-18 09:00:00,4.3,0.0
EUR,Core CPI y/y,2023-09-29 09:00:00,4.5,Final Core CPI y/y,2023-10-18 09:00:00,4.5,0.0
EUR,CPI y/y,2023-08-31 09:00:00,5.3,Final CPI y/y,2023-09-19 09:00:00,5.2,-0.1
EUR,Core CPI y/y,2023-08-31 09:00:00,5.3,Final Core CPI y/y,2023-09-19 09:00:00,5.3,0.0
EUR,Employment Change q/q,2023-08-16 09:00:00,0.2,Final Employment Change q/q,2023-09-07 09:00:00,0.2,0.0
EUR,GDP q/q,2023-07-31 09:00:00,0.3,Revised GDP q/q,2023-09-07 09:00:00,0.1,-0.2
USD,GDP q/q,2023-07-27 12:30:00,2.4,Prelim GDP q/q,2023-08-30 12:30:00,2.1,-0.3
EUR,CPI y/y,2023-07-31 09:00:00,5.3,Final CPI y/y,2023-08-18 09:00:00,5.3,0.0
EUR,Core CPI y/y,2023-07-31 09:00:00,5.5,Final Core CPI y/y,2023-08-18 09:00:00,5.5,0.0
EUR,GDP q/q,2023-07-31 09:00:00,0.3,Flash GDP q/q,2023-08-16 09:00:00,0.3,0.0
USD,GDP q/q,2023-07-27 12:30:00,2.4,Prelim GDP q/q,2023-08-14 23:50:00,1.5,-0.9
EUR,CPI y/y,2023-06-30 09:00:00,5.5,Final CPI y/y,2023-07-19 09:00:00,5.5,0.0
EUR,Core CPI y/y,2023-06-30 09:00:00,5.4,Final Core CPI y/y,2023-07-19 09:00:00,5.5,0.1
EUR,CPI y/y,2023-06-01 09:00:00,6.1,Final CPI y/y,2023-06-16 09:00:00,6.1,0.0
EUR,Core CPI y/y,2023-06-01 09:00:00,5.3,Final Core CPI y/y,2023-06-16 09:00:00,5.3,0.0
EUR,Employment Change q/q,2023-05-16 09:00:00,0.6,Final Employment Change q/q,2023-06-08 09:00:00,0.6,0.0
EUR,GDP q/q,2023-04-28 09:00:00,0.1,Revised GDP q/q,2023-06-08 09:00:00,-0.1,-0.2
USD,GDP q/q,2023-04-27 12:30:00,1.1,Prelim GDP q/q,2023-05-25 12:30:00,1.3,0.2
EUR,CPI y/y,2023-05-02 09:00:00,7.0,Final CPI y/y,2023-05-17 09:00:00,7.0,0.0
EUR,Core CPI y/y,2023-05-02 09:00:00,5.6,Final Core CPI y/y,2023-05-17 09:00:00,5.6,0.0
USD,GDP q/q,2023-04-27 12:30:00,1.1,Prelim GDP q/q,2023-05-16 23:50:00,0.4,-0.7
EUR,GDP q/q,2023-04-28 09:00:00,0.1,Flash GDP q/q,2023-05-16 09:00:00,0.1,0.0
EUR,CPI y/y,2023-03-31 09:00:00,6.9,Final CPI y/y,2023-04-19 09:00:00,6.9,0.0
EUR,Core CPI y/y,2023-03-31 09:00:00,5.7,Final Core CPI y/y,2023-04-19 09:00:00,5.7,0.0
EUR,CPI y/y,2023-03-02 10:00:00,8.5,Final CPI y/y,2023-03-17 10:00:00,8.5,0.0
EUR,Core CPI y/y,2023-03-02 10:00:00,5.6,Final Core CPI y/y,2023-03-17 10:00:00,5.6,0.0
EUR,Employment Change q/q,2023-02-14 10:00:00,0.4,Final Employment Change q/q,2023-03-08 10:00:00,0.3,-0.1
EUR,GDP q/q,2023-01-31 10:00:00,0.1,Revised GDP q/q,2023-03-08 10:00:00,0.0,-0.1
USD,GDP q/q,2023-01-26 13:30:00,2.9,Prelim GDP q/q,2023-02-23 13:30:00,2.7,-0.2
EUR,CPI y/y,2023-02-01 10:00:00,8.5,Final CPI y/y,2023-02-23 10:00:00,8.6,0.1
EUR,Core CPI y/y,2023-02-01 10:00:00,5.2,Final Core CPI y/y,2023-02-23 10:00:00,5.3,0.1
EUR,GDP q/q,2023-01-31 10:00:00,0.1,Flash GDP q/q,2023-02-14 10:00:00,0.1,0.0
USD,GDP q/q,2023-01-26 13:30:00,2.9,Prelim GDP q/q,2023-02-13 23:50:00,0.2,-2.7
EUR,CPI y/y,2023-01-06 10:00:00,9.2,Final CPI y/y,2023-01-18 10:00:00,9.2,0.0
EUR,Core CPI y/y,2023-01-06 10:00:00,5.2,Final Core CPI y/y,2023-01-18 10:00:00,5.2,0.0
EUR,CPI y/y,2023-01-06 10:00:00,9.2,Final CPI y/y,2023-01-17 10:00:00,2.9,-6.3
EUR,Core CPI y/y,2023-01-06 10:00:00,5.2,Final Core CPI y/y,2023-01-17 10:00:00,3.4,-1.8
